accuracy,auc,f1,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall,val_f1_dynamic,val_threshold
0.83349609375,0.917973518371582,0.46694424748420715,0.030654488131403923,0.8807134628295898,0.771484375,0.8385416865348816,0.9260947704315186,0.4576270580291748,0.02977142482995987,0.9012345671653748,0.7604166865348816,0.7092198581560284,0.5499999999999999
0.84912109375,0.9317669868469238,0.4697047472000122,0.028127556666731834,0.8941565752029419,0.7919921875,0.7847222089767456,0.8879485130310059,0.472527414560318,0.03528653457760811,0.817829430103302,0.7326388955116272,0.657243816254417,0.5499999999999999
0.84228515625,0.9220600128173828,0.46805188059806824,0.029882973060011864,0.8890122175216675,0.7822265625,0.8454861044883728,0.9196144342422485,0.45557650923728943,0.030006222426891327,0.9128630757331848,0.7638888955116272,0.7272727272727273,0.49999999999999994
0.8564453125,0.9345183372497559,0.4716201722621918,0.02743442729115486,0.8993435502052307,0.802734375,0.8385416865348816,0.9004870653152466,0.4810810387134552,0.032991036772727966,0.8651685118675232,0.8020833134651184,0.6715116279069767,0.49999999999999994
0.8466796875,0.930201530456543,0.47967472672462463,0.028042858466506004,0.8760592937469482,0.8076171875,0.84375,0.9178240299224854,0.4782608151435852,0.030658595263957977,0.875,0.8020833134651184,0.655436447166922,0.5499999999999999
0.85693359375,0.9318418502807617,0.4788803458213806,0.027603959664702415,0.888416588306427,0.81640625,0.828125,0.9258536100387573,0.44077664613723755,0.029134061187505722,0.91629958152771,0.7222222089767456,0.6634768740031898,0.49999999999999994
0.857421875,0.935542106628418,0.47325095534324646,0.027100790292024612,0.897826075553894,0.806640625,0.859375,0.9308630228042603,0.47731390595436096,0.028116630390286446,0.8935361504554749,0.8159722089767456,0.6783216783216783,0.5999999999999999
0.86279296875,0.9425535202026367,0.4778173863887787,0.02580401487648487,0.8964781165122986,0.8203125,0.8888888955116272,0.9419186115264893,0.5034481883049011,0.027221739292144775,0.8835616707801819,0.8958333134651184,0.7323943661971831,0.5999999999999999
0.87548828125,0.9504680633544922,0.4825668931007385,0.024073731154203415,0.9026178121566772,0.841796875,0.8489583134651184,0.9219352602958679,0.48663094639778137,0.02920740470290184,0.8681318759918213,0.8229166865348816,0.6977491961414791,0.5499999999999999
0.87841796875,0.9477005004882812,0.4856855273246765,0.024887971580028534,0.9007238745689392,0.8505859375,0.7986111044883728,0.9396400451660156,0.41224485635757446,0.029158033430576324,0.9257425665855408,0.6493055820465088,0.7099697885196374,0.44999999999999996
